t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
41,41,2,1,10.078090906143188,14.436838332971092,0.385724708030466,3.290194374974817,6.26241637498606,4.149109042016789,0.2705209999694489,10.07821916701505,24.9063359159627,optimized,,680265,218360,9225292,0.0,35,3822.5544119110405,3822.55444274735,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,20,15,0,5
42,42,2,1,11.403331995010376,15.004610667005181,0.3823041660361923,3.4998444160446525,6.470287207979709,4.296490458014887,0.27162720798514783,11.403452458966058,26.79564245895017,optimized,,680265,218360,9440652,0.0,47,3766.8466009158487,3766.846603599606,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,17,11,0,6
43,43,2,1,10.560842037200928,16.24225283396663,0.38138262496795505,3.6695757909910753,7.1964348329929635,4.635541624971665,0.26694995898287743,10.560970833001193,27.189631166053005,optimized,,680265,218360,10304412,0.0,40,3678.8845766424542,3678.8846083176486,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,23,20,0,3
44,44,2,1,10.471439838409424,14.68879329203628,0.40636966697638854,3.638278333004564,6.060816082987003,4.272738084022421,0.26472962502157316,10.471570416993927,25.57472683303058,optimized,,680265,218360,10273772,0.0,43,3747.4466009906905,3747.4466119011086,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,16,11,0,5
45,45,2,1,8.95853304862976,14.09808854199946,0.372988874965813,3.277095541008748,5.8227403340279125,4.2752678749966435,0.26323737495113164,8.958672790962737,23.43413279100787,optimized,,680265,218360,10376972,0.0,34,3781.2510458639276,3781.251050727737,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,14,11,0,3
46,46,2,1,10.337938070297241,14.41039895900758,0.42792320798616856,3.594333707995247,6.084026333002839,4.014901792048477,0.26244999998016283,10.338068415992893,25.18086541700177,optimized,,680265,218360,10146892,0.0,40,3883.354707235565,3883.354710259537,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,13,8,0,5
47,47,2,1,10.905786991119385,15.331726666016039,0.37445804104208946,3.165275332983583,6.2316837920225225,5.222386625013314,0.26001887500751764,10.905912417045329,26.6163608750212,optimized,,680265,218360,10398812,0.0,44,3921.7107427867427,3921.7107721005286,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,10,7,0,3
48,48,2,1,10.464427947998047,13.558459332969505,0.37351179198594764,3.096373250009492,5.944015750021208,3.8170857499935664,0.2599284590105526,10.464558458013926,24.40078895899933,optimized,,680265,218360,9305132,0.0,39,3946.4279101648767,3946.4279405019042,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,11,9,0,2
49,49,2,1,8.833981037139893,14.308123750030063,0.3696457500336692,3.2783851249841973,6.355375833052676,3.9713817079900764,0.25905320898164064,8.834121833031531,23.516616499982774,optimized,,680265,218360,9165372,0.0,35,3799.94522248405,3799.9452286481155,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,11,8,0,3
50,50,2,1,9.555675983428955,14.809317291015759,0.6152455830015242,3.7534715000074357,6.330856499960646,4.016819625045173,0.26277329097501934,9.555810708960053,24.98444708395982,optimized,,680265,218360,9696972,0.0,37,3843.1546088922178,3843.1546297540203,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,21,18,0,3
51,51,2,1,10.76694393157959,14.791739417007193,0.3733716669958085,3.457353667006828,6.367149416997563,4.2417305409908295,0.26543241599574685,10.76707170798909,25.93639645795338,optimized,,680265,218360,10442972,0.0,44,3804.6536604900066,3804.653669895681,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,13,8,0,5
